feature_type,embedding_model,model_name,model_id,evaluation_split,train_rows,validation_rows,test_rows,feature_generation_seconds,embedding_seconds,train_seconds,artifact_path,model_artifact_size_bytes,deployment_type,api_required,local_only,runtime_dependency,token_cost_method,accuracy,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,false_positive_rate,false_negative_rate,roc_auc,inference_seconds,total_runtime_seconds,inference_seconds_per_email,throughput_emails_per_second,estimated_input_tokens,estimated_token_cost_usd,estimated_cost_per_email_usd,projected_seconds_10k,projected_seconds_100k,projected_seconds_1m,projected_cost_10k_usd,projected_cost_100k_usd,projected_cost_1m_usd
openai_embedding,text-embedding-3-small,lr,text_embedding_3_small_lr,validation,39314,13677,13677,68.7485,68.7485,0.8773,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/openai_embedding_text_embedding_3_small_lr.joblib,13322,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,estimated_from_character_count,0.987424142721357,0.9846625766871165,0.9912970241437394,0.9879686625629547,0.9872554096760204,6443,110,62,7062,0.01678620479169846,0.008702975856260528,0.998577186852797,0.0931,69.7189,6.81e-06,146906.5521,4117249,0.082345,6.0207e-06,0.0681,0.6807,6.807,0.060207,0.602069,6.020692
openai_embedding,text-embedding-3-small,lr,text_embedding_3_small_lr,test,39314,13677,13677,63.8571,63.8571,0.8773,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/openai_embedding_text_embedding_3_small_lr.joblib,13322,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,estimated_from_character_count,0.9881552972143014,0.9875350140056023,0.9897529477821448,0.9886427369601795,0.9880856910435216,6464,89,73,7051,0.01358156569510148,0.010247052217855138,0.9991034319310441,0.0184,64.7528,1.35e-06,743315.2174,4002573,0.080051,5.853e-06,0.0135,0.1345,1.3453,0.05853,0.585296,5.852965
openai_embedding,text-embedding-3-small,svm,text_embedding_3_small_svm,validation,39314,13677,13677,68.7485,68.7485,3.8807,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/openai_embedding_text_embedding_3_small_svm.joblib,13190,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,estimated_from_character_count,0.9923959932733787,0.990909090909091,0.9945255474452555,0.9927140255009107,0.9923032132159895,6488,65,39,7085,0.009919121013276362,0.005474452554744526,0.9993209174310825,0.0629,72.6921,4.6e-06,217440.3816,4117249,0.082345,6.0207e-06,0.046,0.4599,4.599,0.060207,0.602069,6.020692
openai_embedding,text-embedding-3-small,svm,text_embedding_3_small_svm,test,39314,13677,13677,63.8571,63.8571,3.8807,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/openai_embedding_text_embedding_3_small_svm.joblib,13190,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,estimated_from_character_count,0.9929809168677342,0.9936779994380444,0.992841100505334,0.9932593736834714,0.992987008363456,6508,45,51,7073,0.006867083778422097,0.007158899494665918,0.9996394663201865,0.0274,67.7652,2e-06,499160.5839,4002573,0.080051,5.853e-06,0.02,0.2003,2.0034,0.05853,0.585296,5.852965
openai_embedding,text-embedding-3-small,rf,text_embedding_3_small_rf,validation,39314,13677,13677,68.7485,68.7485,147.8575,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/openai_embedding_text_embedding_3_small_rf.joblib,20819540,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,estimated_from_character_count,0.9782847115595525,0.98124911884957,0.9769792251544076,0.979109516775691,0.9783415887713134,6420,133,164,6960,0.020296047611780863,0.023020774845592364,0.9982336398765715,0.1657,216.7717,1.212e-05,82540.7363,4117249,0.082345,6.0207e-06,0.1212,1.2115,12.1152,0.060207,0.602069,6.020692
openai_embedding,text-embedding-3-small,rf,text_embedding_3_small_rf,test,39314,13677,13677,63.8571,63.8571,147.8575,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/openai_embedding_text_embedding_3_small_rf.joblib,20819540,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,estimated_from_character_count,0.9834027930101631,0.9864578925095218,0.9816114542391915,0.9840287061141209,0.9834808377559455,6457,96,131,6993,0.014649778727300474,0.018388545760808533,0.9987029912792449,0.1746,211.8892,1.277e-05,78333.3333,4002573,0.080051,5.853e-06,0.1277,1.2766,12.766,0.05853,0.585296,5.852965
openai_embedding,text-embedding-3-large,lr,text_embedding_3_large_lr,validation,39314,13677,13677,90.33,90.33,1.0586,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/openai_embedding_text_embedding_3_large_lr.joblib,25610,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,estimated_from_character_count,0.9902025297945456,0.9890848026868178,0.9921392476137002,0.9906096706377014,0.9901181511988844,6475,78,56,7068,0.011902945215931634,0.007860752386299831,0.9992642593844361,0.245,91.6336,1.791e-05,55824.4898,4117249,0.535242,3.91345e-05,0.1791,1.7913,17.9133,0.391345,3.913446,39.134459
openai_embedding,text-embedding-3-large,lr,text_embedding_3_large_lr,test,39314,13677,13677,90.4671,90.4671,1.0586,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/openai_embedding_text_embedding_3_large_lr.joblib,25610,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,estimated_from_character_count,0.9925422241719676,0.9917366946778712,0.9939640651319483,0.9928491306786316,0.9924802776445641,6494,59,43,7081,0.009003509842820083,0.006035934868051656,0.9995816943913374,0.0153,91.541,1.12e-06,893921.5686,4002573,0.520334,3.80445e-05,0.0112,0.1119,1.1187,0.380445,3.804445,38.044454
openai_embedding,text-embedding-3-large,svm,text_embedding_3_large_svm,validation,39314,13677,13677,90.33,90.33,6.5807,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/openai_embedding_text_embedding_3_large_svm.joblib,25478,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,estimated_from_character_count,0.9957593039409227,0.9950952914798207,0.996771476698484,0.9959326788218794,0.9957152057687445,6518,35,23,7101,0.005341065160994964,0.0032285233015160023,0.9998630353307154,0.1232,97.0339,9.01e-06,111014.6104,4117249,0.535242,3.91345e-05,0.0901,0.9008,9.0078,0.391345,3.913446,39.134459
openai_embedding,text-embedding-3-large,svm,text_embedding_3_large_svm,test,39314,13677,13677,90.4671,90.4671,6.5807,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/openai_embedding_text_embedding_3_large_svm.joblib,25478,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,estimated_from_character_count,0.9951012648972728,0.995645455822447,0.9949466591802358,0.9952959348451871,0.9951080007331059,6522,31,36,7088,0.004730657714024111,0.0050533408197641775,0.9998585155394707,0.0757,97.1235,5.53e-06,180673.712,4002573,0.520334,3.80445e-05,0.0553,0.5535,5.5348,0.380445,3.804445,38.044454
openai_embedding,text-embedding-3-large,rf,text_embedding_3_large_rf,validation,39314,13677,13677,90.33,90.33,240.3859,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/openai_embedding_text_embedding_3_large_rf.joblib,17192980,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,estimated_from_character_count,0.9861811800833516,0.9892761394101877,0.9841381246490736,0.986700443318556,0.9862701915783136,6477,76,113,7011,0.011597741492446207,0.015861875350926445,0.9991586976249375,0.3176,331.0335,2.322e-05,43063.602,4117249,0.535242,3.91345e-05,0.2322,2.3221,23.2215,0.391345,3.913446,39.134459
openai_embedding,text-embedding-3-large,rf,text_embedding_3_large_rf,test,39314,13677,13677,90.4671,90.4671,240.3859,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/openai_embedding_text_embedding_3_large_rf.joblib,17192980,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,estimated_from_character_count,0.9871316809241792,0.9898477157360406,0.9854014598540146,0.9876195835678109,0.9872070629042696,6481,72,104,7020,0.010987334045475354,0.014598540145985401,0.9992499288614848,0.3111,331.1641,2.275e-05,43963.3558,4002573,0.520334,3.80445e-05,0.2275,2.2746,22.7462,0.380445,3.804445,38.044454
